image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
00000050.jpg,Tree,0.3820929,0.2579678,0.391399,0.24194671,0.37265942,0.24599686,0.40677992,0.25445214,0.3627486,0.26241466,0.42461696,0.34260768,0.33694315,0.33526,0.451014,0.2337208,0.31563428,0.20882982,0.46085414,0.11857835,0.3042559,0.09799054,0.39610383,0.5846572,0.333761,0.5586633,0.39211664,0.7553307,0.25089553,0.6521559,0.3767603,0.9353824,0.3569653,0.6987992
00000115.jpg,Tree,0.5192701,0.2550406,0.53221256,0.24549995,0.50791216,0.2461494,0.55144227,0.25378042,0.49752998,0.25656387,0.5894804,0.315508,0.45313835,0.3109208,0.6516568,0.22719702,0.37603495,0.2205309,0.5334665,0.17646183,0.48301196,0.16956325,0.5417702,0.52877295,0.4508271,0.52263844,0.43124714,0.639775,0.32590935,0.62806654,0.52419704,0.69201344,0.483356,0.7200423
File18.jpg,Tree,0.55666363,0.09596124,0.5840134,0.07911201,0.5345313,0.08005555,0.6237093,0.099831514,0.50410444,0.10301958,0.6936087,0.21949449,0.41795418,0.22450902,0.7762008,0.29628703,0.32237837,0.30753195,0.6002533,0.26599276,0.4854128,0.27067292,0.6201493,0.4506023,0.44969687,0.4340104,0.55819964,0.6767345,0.28190637,0.5935561,0.5400536,0.8703455,0.5480051,0.64286065
00000015.jpg,Tree,0.53258175,0.15777904,0.5555851,0.13808222,0.50888556,0.14142275,0.59347606,0.14506036,0.47863865,0.15425333,0.66079897,0.26070657,0.41365382,0.2704843,0.7299647,0.38593075,0.3625479,0.39503142,0.5961875,0.34636265,0.49436647,0.35626328,0.59054023,0.48689768,0.4371871,0.46779108,0.52038133,0.7109093,0.27471694,0.625992,0.5110535,0.89089054,0.48273706,0.6416847
00000146.jpg,Tree,0.34475276,0.34527874,0.3355932,0.3400115,0.34656426,0.34155223,0.30991465,0.35261124,0.35190403,0.35967383,0.2962708,0.40224484,0.3606474,0.40771577,0.28972074,0.2996333,0.36986676,0.30583128,0.31513986,0.21961664,0.34811062,0.22329107,0.3081399,0.6211825,0.3491001,0.6055763,0.33295286,0.77229935,0.40819046,0.6591318,0.33144557,0.8976339,0.3426662,0.7022986
00000074.jpg,Tree,0.51986754,0.26277304,0.53842455,0.24819781,0.50589895,0.25178364,0.5722691,0.26066646,0.49511352,0.2658565,0.6017352,0.35239738,0.44660318,0.33711746,0.5842913,0.20837791,0.45292613,0.19661652,0.5529176,0.1002183,0.48271927,0.10128098,0.5475303,0.5586557,0.43476173,0.5337114,0.5229135,0.73526305,0.28191745,0.63988626,0.5094755,0.9127504,0.48502344,0.72725016
00000094.jpg,Tree,0.40068313,0.28178436,0.40221292,0.2698911,0.3847122,0.2873572,0.417503,0.28527123,0.37942588,0.32692203,0.4734901,0.3247056,0.39140412,0.41148284,0.46398267,0.19378532,0.42814323,0.5075917,0.40208304,0.16347022,0.33507705,0.5723319,0.5327854,0.53103936,0.46539664,0.53458494,0.50756013,0.6974762,0.36402616,0.5751374,0.4992984,0.86340815,0.4826787,0.630634
00000051.jpg,Tree,0.49404165,0.14526977,0.49885812,0.12924626,0.48453972,0.12899749,0.5096264,0.14026266,0.47135183,0.13846092,0.5326275,0.25061098,0.44971204,0.22868913,0.58301115,0.34069943,0.40298826,0.34495333,0.52037925,0.33585435,0.46813533,0.332377,0.51974565,0.4298493,0.46546856,0.4544075,0.62298274,0.52773803,0.493016,0.6555578,0.5043312,0.5571375,0.50534964,0.8785698
00000181.jpg,Tree,0.49141535,0.2344238,0.50049907,0.21937546,0.48239884,0.22135736,0.5142773,0.23174863,0.46938854,0.2372649,0.5382684,0.31825182,0.4477303,0.31926623,0.5853898,0.38914138,0.40269288,0.3870248,0.5155632,0.38834447,0.47052518,0.3931958,0.510878,0.52666265,0.45407507,0.50462914,0.48636016,0.6828389,0.35794017,0.59459484,0.47689325,0.8580681,0.46740004,0.6493331
00000143.jpg,Tree,0.8404665,0.24001801,0.8395094,0.2346951,0.84599936,0.2344926,0.8302984,0.25553057,0.8706878,0.25060102,0.81672615,0.30367517,0.8811642,0.30271888,0.8174378,0.18952972,0.87691975,0.18066792,0.8302261,0.122095324,0.85919476,0.12416787,0.83696884,0.5672705,0.87665176,0.5681979,0.8460373,0.7278353,0.8694479,0.74191135,0.85418624,0.8738819,0.8561968,0.90322214
